January
25,5497486333129
35,9734465186361
28,1556492336819
38,0143260550752
52,7110995621006
24,9474450456665
37,064990541928
40,2983588004943
30,8092929193793
37,1714981003532
51,7779131125556
32,9019012641636
31,6263396649744
48,4065336237692
32,8533189920025
25,3702875042196
43,4653842022947
33,8545275613919
27,1223727064777
39,6217816158299
33,3312422518298
39,9400433175918
37,0918121291752
31,6309094902272
27,3449650347908
44,0753714130611
34,8054316848542
28,7329267983944
46,6243679037431
29,136709922057
26,2903496116821
46,8058458211859
27,9843769096697
39,7159107377361
54,9892106931606
22,208026466988
36,2086170195642
49,4838791035506
21,6018991552302
29,2765054149909
42,6761356311273
24,6001854024828
30,5757522003612
51,2858788558682
29,9774596956454
29,6360540947113
42,66592731125
33,1263274620875
32,0098503269301
38,4178184268148
31,9806235711931
29,1153086904042
38,3108648859481
28,5213512291766
37,7046445234235
35,8129404209614
34,1612257920956
36,5247397434547
49,2258146937125
26,4767961117797
30,1420133608123
46,1094183247115
30,2554931725634
26,6725829973224
49,5081979848948
23,7290504685273
29,917524354494
44,2139052363177
30,0629921979564
35,6452925250145
40,5488939795405
30,486128824058
37,2526284061617
52,1278230553157
32,7092344885269
33,731056849347
47,4857214896408
24,3544499549803
26,6534497945818
51,9452145867726
21,0570830763583
26,6791042227666
50,630768628619
26,1549121076962
37,1560863508638
51,2333878950371
26,3712357014284
39,4630256804931
37,6816882857502
34,3822027041494
